Year;Total annual precipitation in millimiters;Average annual temperature in degrees Celcius;Total CO2 emissions in millions of metric tons;Average summer Arctic sea ice extent in square kilometers
1900;572.5668391102;-5.0442705639;1958.178;9.03
1901;573.0239696499;-4.909187288;2024.184;8.95
1902;558.0661838248;-5.418014241;2075.522;9.03
1903;585.9440679428;-5.33978811;2262.539;8.84
1904;571.6804233489;-5.5331842415;2288.208;8.8
1905;569.1365192275;-5.3167977956;2431.221;8.81
1906;578.5138687705;-5.2037452578;2592.569;8.9
1907;558.0585187101;-5.6350257947;2874.928;8.82
1908;581.8031945163;-5.1200239265;2750.25;8.88
1909;591.2510087946;-5.3940679427;2878.595;8.92
1910;581.1520779445;-5.1772687101;3003.273;9.07
1911;579.047210726;-5.2581156234;3065.612;9.16
1912;584.5557509916;-5.6128470426;3223.293;9.13
1913;605.9638515261;-5.3809284647;3457.981;9.16
1914;542.9103638558;-5.0851838679;3116.95;9.04
1915;608.3124978445;-5.3061928781;3072.946;8.95
1916;615.8142783239;-5.4520887222;3303.967;9.14
1917;613.6425375065;-5.2760249612;3501.985;9.3
1918;589.8050137955;-5.3562129965;3432.312;9.25
1919;565.0480815658;-5.1472035408;2955.602;9.04
1920;590.1869977582;-5.2339850262;3417.644;8.95
1921;596.1151707191;-5.0652580186;2944.601;8.97
1922;628.1015907915;-5.186972251;3098.615;8.9
1923;588.1189558545;-5.1410702995;3556.99;8.77
1924;588.8477582342;-5.14659927;3531.321;8.92
1925;610.3719736161;-5.1350696241;3575.325;8.72
1926;568.0617132264;-4.9561274932;3604.661;8.98
1927;601.7969477496;-5.3296275938;3894.354;9.01
1928;600.2081048457;-5.291644752;3905.355;8.98
1929;640.0103293671;-5.4803274271;4198.715;9.03
1930;557.0313890326;-5.3262365638;3861.351;8.79
1931;583.7532160717;-4.9796570529;3446.98;8.77
1932;604.1652396965;-5.0542780364;3105.949;8.93
1933;591.2268020348;-5.3944221705;3274.631;8.75
1934;593.7101181238;-4.9575745818;3567.991;9.25
1935;616.1998189343;-5.2703785135;3766.009;9.19
1936;569.7892481462;-4.9703095361;4143.71;8.95
1937;574.7732841869;-4.7464990372;4433.403;9.04
1938;600.7613683394;-4.8792798327;4187.714;8.81
1939;579.5233574754;-5.2120620653;4371.064;9
1940;575.8794059321;-4.7814228028;4763.433;8.6
1941;582.8971288153;-5.0363845059;4891.778;9.14
1942;564.5617563373;-5.0600947721;4921.114;9.14
1943;586.5622391792;-4.6021041703;5100.797;9.11
1944;585.4393257458;-4.8834109329;5071.461;9.09
1945;606.3327125366;-5.1821926913;4253.72;9.04
1946;586.3968270391;-4.9998789303;4539.746;9.3
1947;592.4085963097;-4.801162916;5104.464;9.13
1948;571.7479608553;-5.1894356786;5386.823;9.27
1949;589.0789187791;-5.5435563603;5203.473;9.43
1950;619.7866313157;-5.5069670777;5977.21;9.3
1951;562.1568546301;-5.1908159453;6479.589;9.34
1952;567.7574236937;-5.1183932575;6582.265;9.4
1953;572.137722021;-5.0486362591;6750.947;8.93
1954;592.0246508019;-5.2663706386;6838.955;8.95
1955;602.339140369;-5.4171987268;7488.014;8.93
1956;567.3626013106;-5.551979508;7983.059;8.94
1957;565.2613726505;-5.0354313962;8324.09;8.74
1958;553.6657009829;-5.1605406105;8544.11;8.66
1959;564.051470081;-5.1144831005;8998.818;9.01
1960;567.0526642525;-5.3630467897;9420.523;8.57
1961;569.7008967063;-5.0653341812;9460.86;8.71
1962;564.9168865322;-5.2027055671;9849.562;8.74
1963;564.3927142611;-4.9778539403;10388.611;9.03
1964;601.7507371961;-5.563369762;10982.665;8.91
1965;551.8054880152;-5.3178177272;11477.71;8.84
1966;594.6115235385;-5.2234419009;12057.096;8.84
1967;586.2486549405;-5.0562945479;12442.131;8.58
1968;572.9654811174;-5.3774404351;13076.522;8.76
1969;566.5982195206;-5.3136460309;13861.26;9.04
1970;555.6625280221;-5.115999885;14862.351;8.82
1971;561.7195076737;-5.1617387337;15430.736;8.68
1972;551.9176840835;-5.3242060413;16046.792;8.92
1973;580.9153345404;-4.9379494309;16919.538;8.56
1974;574.1917183997;-5.2302932977;16952.541;8.49
1975;576.4288541128;-5.0272651175;16853.532;8.53
1976;556.2123857562;-5.4948992642;17836.288;8.66
1977;575.4537247801;-5.0278578922;18430.342;8.61
1978;560.6442102087;-5.1696944876;18654.029;8.62
1979;560.1796301086;-5.2827775622;19688.123;8.61
1980;553.4302121055;-4.6519015491;19490.105;8.76
1981;558.755919124;-4.4337454015;18892.384;8.58
1982;547.7763019486;-5.1281179945;18749.371;8.82
1983;539.1077901362;-4.8407142754;18679.698;8.93
1984;544.1101439903;-4.9167320515;19361.76;8.4
1985;529.1443998965;-5.0734404639;19944.813;8.16
1986;519.7208484221;-4.9943273266;20560.869;8.67
1987;519.193688567;-4.9558573317;21092.584;8.38
1988;550.3269184342;-4.3438710697;21873.655;8.48
1989;540.9210122435;-4.8475811203;22357.699;8.45
1990;552.7676151061;-4.525846051;22467.709;7.56
1991;535.3082988446;-4.5125678996;22797.739;7.88
1992;523.875780307;-5.0286335288;22603.388;8.67
1993;521.0702966029;-5.1368576479;22596.054;7.82
1994;537.50895413;-5.0145721964;22977.422;8.34
1995;537.6254526643;-4.5342278841;23461.466;7.32
1996;553.2533195379;-4.6809363683;23989.514;8.8
1997;533.3349499914;-4.6944236075;24389.217;7.88
1998;538.5767891016;-4.3539949417;24359.881;7.89
1999;551.3596007932;-4.5561149192;24238.87;7.74
2000;560.4142653906;-4.5726285423;24807.255;7.76
2001;533.0964217969;-4.3503890757;25401.309;7.81
2002;529.6708829108;-4.1540114675;25654.332;7.33
2003;531.8028194516;-4.3279394436;27194.472;7.49
2004;526.4632479738;-4.5894694488;28628.269;7.49
2005;543.1500646663;-3.7951511036;29677.031;6.93
2006;565.2095145715;-4.1571995172;30692.79;7.04
2007;548.4431367477;-3.8261022015;31411.522;5.93
2008;543.5683135023;-4.2337651607;32207.261;6.59
2009;526.2251120883;-4.1586925907;32049.58;6.82
2010;548.3047335748;-4.0433041616;33615.389;6.43
